algorithm,metric,sketch_time,test_time,mse,mae,max_error,relative_error,total_time,compression_ratio,matrix_rows,matrix_cols,sketch_size,config_name,density
BinSketch,inner_product,0.0015532970428466797,0.023193359375,0.84,0.6,3.0,1400000000.3333335,0.02474665641784668,2.0,100,100,50,Tiny Sparse Matrix,0.1
BCS,inner_product,0.0018165111541748047,0.03536677360534668,2.22,1.18,4.0,5000000000.546666,0.037183284759521484,2.0,100,100,50,Tiny Sparse Matrix,0.1
MinHash,jaccard,0.00919198989868164,0.0192718505859375,0.0004936625747600725,0.015091972507284127,0.05263157894736842,0.23413333293911556,0.02846384048461914,2.0,100,100,50,Tiny Sparse Matrix,0.1
BinSketch,jaccard,0.0007753372192382812,0.028059959411621094,0.0023075293799952636,0.03347186478462373,0.13425925925925927,70748538.3747145,0.028835296630859375,2.0,100,100,50,Tiny Sparse Matrix,0.1
SimHash,hamming,0.0009937286376953125,0.010637998580932617,46.3,5.78,13.0,0.35369445086853946,0.01163172721862793,2.0,100,100,50,Tiny Sparse Matrix,0.1
BinSketch,hamming,0.0002799034118652344,0.013570070266723633,6.6,2.0,6.0,0.11183198889109208,0.013849973678588867,2.0,100,100,50,Tiny Sparse Matrix,0.1
BinSketch,cosine,0.00025153160095214844,0.03925800323486328,93.02138748629328,9.470317625994321,14.146343966518263,0.9929947141167872,0.03950953483581543,2.0,100,100,50,Tiny Sparse Matrix,0.1
SimHash,cosine,0.00015807151794433594,0.020649194717407227,91.90620349570331,9.401246544801575,14.678758060775165,0.9847670776829248,0.020807266235351562,2.0,100,100,50,Tiny Sparse Matrix,0.1
BCS,cosine,0.0006568431854248047,0.021926403045654297,90.10414201156122,9.31862236670544,14.300684228340321,0.9770081311211949,0.0225832462310791,2.0,100,100,50,Tiny Sparse Matrix,0.1
BinSketch,inner_product,0.004467487335205078,0.02240133285522461,54.28,5.88,16.0,12400000002.510332,0.026868820190429688,7.8125,1000,1000,128,Small Sparse Matrix,0.05
BCS,inner_product,0.005966663360595703,0.014362812042236328,70.86,7.86,14.0,12800000003.708336,0.02032947540283203,7.8125,1000,1000,128,Small Sparse Matrix,0.05
MinHash,jaccard,0.1190190315246582,0.014844179153442383,0.0001369338886847239,0.008326959446201602,0.039603960396039604,0.36365624772005795,0.13386321067810059,7.8125,1000,1000,128,Small Sparse Matrix,0.05
BinSketch,jaccard,0.0029382705688476562,0.023726940155029297,0.006000768019891947,0.062273493845076,0.14864864864864863,135245138.24997905,0.026665210723876953,7.8125,1000,1000,128,Small Sparse Matrix,0.05
SimHash,hamming,0.010991096496582031,0.012805938720703125,1486.32,36.96,62.0,0.37431918876733095,0.023797035217285156,7.8125,1000,1000,128,Small Sparse Matrix,0.05
BinSketch,hamming,0.0041158199310302734,0.023319244384765625,160.38,10.18,27.0,0.10398352486299009,0.0274350643157959,7.8125,1000,1000,128,Small Sparse Matrix,0.05
BinSketch,cosine,0.003881692886352539,0.043263912200927734,2579.958615570741,50.60716467785843,61.24360935766234,0.9972135604766282,0.04714560508728027,7.8125,1000,1000,128,Small Sparse Matrix,0.05
SimHash,cosine,0.004338979721069336,0.03671622276306152,2584.8950650072848,50.65598153929535,61.40814003215792,0.9981847005155751,0.04105520248413086,7.8125,1000,1000,128,Small Sparse Matrix,0.05
BCS,cosine,0.0048253536224365234,0.038414716720581055,2564.5139022423336,50.45423035970777,61.15820627614727,0.9941752002204164,0.04324007034301758,7.8125,1000,1000,128,Small Sparse Matrix,0.05
BinSketch,inner_product,0.021007061004638672,0.014261960983276367,359.8,16.0,29.0,150000000001.0,0.03526902198791504,390.625,2000,100000,256,Large High-Dim Matrix,0.001
BCS,inner_product,0.022330522537231445,0.010755062103271484,403.8,19.6,25.0,185500000001.05,0.03308558464050293,390.625,2000,100000,256,Large High-Dim Matrix,0.001
MinHash,jaccard,0.5051078796386719,0.004739284515380859,2.897052193663257e-07,0.00012035472972972972,0.0024070945945945943,0.022265624588085942,0.5098471641540527,390.625,2000,100000,256,Large High-Dim Matrix,0.001
BinSketch,jaccard,0.011785030364990234,0.00847482681274414,0.010628457134658537,0.08659587470282328,0.15555555555555556,806161450.8371855,0.020259857177734375,390.625,2000,100000,256,Large High-Dim Matrix,0.001
SimHash,hamming,0.7401134967803955,0.003204345703125,6177.25,77.55,100.0,0.3782433735024393,0.7433178424835205,390.625,2000,100000,256,Large High-Dim Matrix,0.001
BinSketch,hamming,0.013375043869018555,0.008605718612670898,1309.9,30.2,59.0,0.1473426833385154,0.021980762481689453,390.625,2000,100000,256,Large High-Dim Matrix,0.001
BinSketch,cosine,0.013967752456665039,0.0497584342956543,10345.750960600699,101.57081232135798,112.25342419456878,0.9984767261733538,0.06372618675231934,390.625,2000,100000,256,Large High-Dim Matrix,0.001
SimHash,cosine,0.06939148902893066,0.05280423164367676,10373.739530606268,101.70769478271829,112.53569610634322,0.9998196077103086,0.12219572067260742,390.625,2000,100000,256,Large High-Dim Matrix,0.001
BCS,cosine,0.017682313919067383,0.06020402908325195,10321.545545030678,101.45014566735587,112.26346902205046,0.9972736202065992,0.07788634300231934,390.625,2000,100000,256,Large High-Dim Matrix,0.001
BinSketch,inner_product,0.1927173137664795,0.046485185623168945,72.0,6.8,15.0,68000000000.0,0.23920249938964844,1953.125,500,1000000,512,Very Large High-Dim Matrix,0.0001
BCS,inner_product,0.06044936180114746,0.054746389389038086,187.4,13.2,19.0,132000000000.0,0.11519575119018555,1953.125,500,1000000,512,Very Large High-Dim Matrix,0.0001
MinHash,jaccard,0.6099026203155518,0.0058057308197021484,0.0,0.0,0.0,0.0,0.6157083511352539,1953.125,500,1000000,512,Very Large High-Dim Matrix,0.0001
BinSketch,jaccard,0.10773587226867676,0.011014938354492188,0.00213310610486271,0.03677387646888173,0.08287292817679558,367738764.68881726,0.11875081062316895,1953.125,500,1000000,512,Very Large High-Dim Matrix,0.0001
SimHash,hamming,24.48112416267395,0.0027306079864501953,3889.9,60.9,90.0,0.31560115870239824,24.4838547706604,1953.125,500,1000000,512,Very Large High-Dim Matrix,0.0001
BinSketch,hamming,0.057877540588378906,0.004292726516723633,266.4,14.0,27.0,0.071830570673623,0.06217026710510254,1953.125,500,1000000,512,Very Large High-Dim Matrix,0.0001
BinSketch,cosine,0.0467376708984375,0.17348623275756836,9455.200971339098,97.11634873624283,103.44053983630043,0.9992815330221836,0.22022390365600586,1953.125,500,1000000,512,Very Large High-Dim Matrix,0.0001
SimHash,cosine,0.0348505973815918,0.20849299430847168,9468.230088138898,97.18284580650788,103.48652072519918,0.9999601067904644,0.24334359169006348,1953.125,500,1000000,512,Very Large High-Dim Matrix,0.0001
BCS,cosine,0.0325167179107666,0.15812397003173828,9437.088254540182,97.02386316522171,103.34047631792373,0.9983355537156255,0.19064068794250488,1953.125,500,1000000,512,Very Large High-Dim Matrix,0.0001
